id,Chinese,English,Status
1173,操,to hold/to drill/to exercise/to act/to do/to take in hand/to keep/to manage,1
1174,耶,(final part.)/(phonetic),1
1175,阻,to hinder/to block/to obstruct,1
1176,订,"to agree/to conclude/to draw up/to subscribe to (a newspaper, etc.)/to order",1
1177,彩,"(bright) color/variety/applause/applaud/(lottery) prize, colored/variegated",1
1178,抽,to draw out/to smoke (cigarettes)/to pump,1
1179,赞,"to praise, to patronize/to support/to praise",1
1180,魔,devil,1
1181,纷,numerous/confused/disorderly,1
1182,沿,"along, riverside (with -r)",1
1183,喊,call/cry/to shout,1
1184,违,to disobey/to violate/to separate/to go against,1
1185,妹,younger sister,1
1186,浪,wave/breaker/unrestrained/dissipated,1
1187,汇,"remit/to converge (of rivers)/to exchange, class/collection",1
1188,币,money/coins/currency,1
1189,丰,"buxom/good-looking/appearance and carriage of a person, (surname)/abundant/plentiful/great",1
1190,蓝,"kohlrabi, blue",1
1191,殊,unique,1
1192,献,to offer,1
1193,桌,table,1
1194,啦,"(onomat.)/(phonetic), (an auxiliary word performing the grammatical functions of mood)/fusion of le + a",1
1195,瓦,tile,1
1196,莱,Chenopodium album,1
1197,援,to help/to assist/to aid,1
1198,译,to translate/to interpret,1
1199,夺,rob/snatch,1
1200,汽,steam/vapor,1
1201,烧,to burn/to cook/to stew/to bake/to roast/fever,1
1202,距,at a distance of/distance/to be apart,1
1203,裁,cut out (as a dress)/cut/trim/reduce/diminish/decision/judgment,1
1204,偏,one-sided/to lean/to slant/prejudiced/inclined to one side,1
1205,符,mark/sign/talisman/to seal/to correspond (to)/tally/symbol/written charm/to coincide,1
1206,勇,brave,1
1207,触,knock against/touch/to feel,1
1208,课,subject/class/lesson,1
1209,敬,to respect/to venerate/to salute/to offer,1
1210,哭,to cry/to weep,1
1211,懂,to understand/to know,1
1212,墙,wall,1
1213,袭,inherit/raid/suit of clothes,1
1214,召,"(surname)/name of an ancient state, to call together/to summon/to convene",1
1215,罚,to punish/to penalize,1
1216,侠,heroic,1
1217,厅,(reception) hall/office,1
1218,拜,to pay respect/worship/visit/salute,1
1219,巧,opportunely/coincidentally/as it happens/skillful/timely,1
1220,侧,"the side/to incline towards/to lean/inclined/lateral/side, lean on one side",1
1221,韩,South Korea/Korean/Japan-annexed Korea,1
1222,冒,brave/bold/to cover,1
1223,债,debt,1
1224,曼,handsome/large/long,1
1225,融,harmonious/melt/mild,1
1226,惯,accustomed to/used to,1
1227,享,enjoy,1
1228,戴,"to put on/to respect/to bear/to support/wear (glasses, hat, gloves)",1
1229,童,(surname)/boy/child/children,1
1230,犹,Jew/as if/still/to scheme,1
1231,乘,ride/mount/make use of/take advantage of/multiply/to avail of/to ride,1
1232,挂,"hang/suspend, to hang/to put up/to suspend",1
1233,奖,prize/award/encouragement,1
1234,绍,connect/to introduce,1
1235,厚,generous/thick (for flat things),1
1236,纵,"vertical, even if/release",1
1237,障,to block/to hinder/to obstruct,1
1238,讯,to question/to ask/to interrogate/rapid/speedy/fast/news/information,1
1239,涉,involve/concern/wade/to experience,1
1240,彻,pervade/penetrate/pass through/thorough/penetrating,1
1241,刊,to print/publish,1
1242,丈,ten feet,1
1243,爆,to crack/to explode or burst,1
1244,乌,a crow/black,1
1245,役,service,1
1246,描,depict/to trace (a drawing)/to copy/to touch up,1
1247,洗,to wash/to bathe,1
1248,玛,agate/cornelian,1
1249,患,misfortune/suffer (from illness)/trouble/danger/worry/to contract (a disease),1
1250,妙,clever/wonderful,1
1251,镜,mirror,1
1252,唱,sing/to call loudly/to chant,1
1253,烦,feel vexed/to bother,1
1254,签,"sign one's name, a note/a stick/sign one's name",1
1255,仙,immortal,1
1256,彼,that/those/(one) another),1
1257,弗,not,1
1258,症,"obstruction of bowels, disease/illness",1
1259,仿,"to imitate/to copy, imitate, seemingly",1
1260,倾,to overturn/to collapse/to lean/to tend/to incline/to pour out,1
1261,牌,cards/game pieces/signboard/plate/tablet,1
1262,陷,to fall/trap,1
1263,鸟,bird,1
1264,轰,explosion/bang/boom/rumble/strike (by thunder or a bomb),1
1265,咱,"we (incl.), we (incl.)",1
1266,菜,dish (type of food)/vegetables,1
1267,闭,to close/stop up/shut/obstruct,1
1268,奋,exert oneself,1
1269,庆,celebrate,1
1270,撤,remove/take away/withdraw,1
1271,泪,tears,1
1272,茶,tea/tea plant,1
1273,疾,sickness/disease/hate/envy,1
1274,缘,along/predestined affinity/reason/edge,1
1275,播,sow/scatter/spread/broadcast,1
1276,朗,clear/bright,1
1277,杜,(surname)/fabricate/restrict/to prevent,1
1278,奶,breast/lady/milk,1
1279,季,season/period,1
1280,丹,red/pellet/powder/cinnabar,1
1281,狗,dog,1
1282,尾,tail,1
1283,仪,apparatus/rites/appearance/present/ceremony,1
1284,偷,to steal/to pilfer,1
1285,奔,"to hurry or rush/to run quickly/to elope, go to/towards",1
1286,珠,bead/pearl,1
1287,虫,"insect/worm, an animal/an invertebrate/a worm/an insect",1
1288,驻,resident in/stationed in/located at/to station (troops),1
1289,孔,(surname)/hole,1
1290,宜,proper/should/suitable/appropriate,1
1291,艾,(surname)/Artemisia vulgaris/Chinese mugwort,1
1292,桥,bridge,1
1293,淡,insipid/diluted/weak/light in color/tasteless/fresh/indifferent/nitrogen,1
1294,翼,wing,1
1295,恨,to hate,1
1296,繁,complicated/many/in great numbers,1
1297,寒,cold/poor/to tremble,1
1298,伴,a partner/companion or associate/to accompany/comrade,1
1299,叹,to sigh,1
1300,旦,dawn/morning/day-break/day,1
1301,愈,"heal/the more...the more/to recover/better, heal",1
1302,潮,tide/current/damp/moist/humid,1
1303,粮,provisions,1
1304,缩,to withdraw/to pull back/to contract/to shrink/to reduce,1
1305,罢,"to stop/cease/dismiss/suspend/to quit/to finish, (final part.)",1
1306,聚,form gathering/gather,1
1307,径,path,1
1308,恰,exactly/just,1
1309,挑,"carry on a pole/choose, incite",1
1310,袋,a pouch/bag/sack/pocket,1
1311,灰,gray/ash,1
1312,捕,to catch/to seize/to capture/to catch,1
1313,徐,slow/gentle/Xu (a surname),1
1314,珍,precious thing/treasure,1
1315,幕,stage curtain/tent,1
1316,映,reflect/shine,1
1317,裂,crack/split,1
1318,泰,safe/peaceful/most/Thai(land)/grand,1
1319,隔,to separate/to stand or lie between/to divide/to cut off,1
1320,启,to open/to start,1
1321,尖,point (of needle)/sharp/shrewd/pointed,1
1322,忠,loyal,1
1323,累,"cumbersome, accumulate, implicate/tired",1
1324,炎,flame/inflammation/-itis,1
1325,暂,temporarily,1
1326,估,"estimate, old/second-hand (clothes)",1
1327,泛,"broad/vast/float/pan-, float/general/vague",1
1328,荒,out of practice/uncultivated,1
1329,偿,to compensate/pay back/to recompense,1
1330,横,"horizontal/across/(horizontal character stroke), unruly",1
1331,拒,to resist/to repel/to refuse,1
1332,瑞,lucky/auspicious/propitious/rayl (acoustical unit),1
1333,忆,remember,1
1334,孤,lone/lonely,1
1335,鼻,nose,1
1336,闹,make noise or disturbance,1
1337,羊,(surname)/sheep,1
1338,呆,"foolish/stupid/no expression/stay, stay/stupid",1
1339,厉,severe,1
1340,衡,to weigh/weight/measure,1
1341,胞,the placenta/womb,1
1342,零,remnant/zero,1
1343,穷,exhausted/poor,1
1344,舍,"give up/abandon, residence",1
1345,码,a weight/number/yard/pile/stack,1
1346,赫,(surname)/awe-inspiring,1
1347,婆,grandmother/matron/mother-in-law,1
1348,魂,soul,1
1349,灾,disaster/calamity,1
1350,洪,flood,1
1351,腿,leg,1
1352,胆,the gall/the nerve/courage/guts/gall bladder,1
1353,津,Tianjin/ferry,1
1354,俗,vulgar,1
1355,辩,dispute/debate/argue/discuss,1
1356,胸,chest/bosom/heart/mind/thorax,1
1357,晓,dawn/to know/to tell (sb sth)/dawn,1
1358,劲,"strength, stalwart/sturdy",1
1359,贫,poor,1
1360,仁,humane,1
1361,偶,accidental/image/pair/mate,1
1362,辑,gather up/collect/edit/compile,1
1363,邦,a state/country or nation,1
1364,恢,to restore/to recover/great,1
1365,赖,disclaim/rely/to blame,1
1366,圈,"to confine/enclose, pen (pig)/a fold, circle/ring/loop",1
1367,摸,"feel with the hand/to touch/to stroke/to grope/to feel (one's pulse), imitate/copy",1
1368,仰,look up,1
1369,润,smooth/moist,1
1370,堆,a pile/a mass/heap/stack,1
1371,碰,to touch/to meet with/to bump,1
1372,艇,small boat,1
1373,稍,somewhat/a little,1
1374,迟,late/delayed/slow,1
1375,辆,(a measure word for vehicles),1
1376,废,abolish/crippled,1
1377,净,"clean, clean/completely/only",1
1378,凶,"fierce, fierce/terrible/ominous",1
1379,署,office/bureau,1
1380,壁,wall/rampart,1
1381,御,"defend/imperial/to drive, defend/resist",1
1382,奉,to receive (from superior)/to offer/to revere,1
1383,旋,"revolve, lathe/specially for an occasion",1
1384,冬,winter,1
1385,矿,ore/mine,1
1386,抬,to lift/to raise/(of two or more persons) to carry,1
1387,蛋,egg/oval shaped,1
1388,晨,morning/dawn/daybreak,1
1389,伏,conceal (ambush)/prostrate/submit,1
1390,吹,to blow/blast/puff/boast/brag/end in failure,1
1391,鸡,fowl/chicken,1
1392,倍,"(two, three, etc) -fold/times (multiplier)/double/to increase or multiply",1
1393,糊,"muddled/paste/scorched, paste/cream",1
1394,秦,(surname)/name of a dynasty,1
1395,盾,shield,1
1396,杯,cup/a measure word,1
1397,租,rent/taxes,1
1398,骑,to ride (an animal or bike)/to sit astride,1
1399,乏,short of/tired,1
1400,隆,"sound of drums, grand/intense/prosperous/start (a fire)",1
1401,诊,examine or treat medically,1
1402,奴,slave,1
1403,摄,assist/collect/absorb,1
1404,丧,"mourning/funeral, lose (by death)",1
1405,污,"see 污, dirt/filth",1
1406,渡,to cross/to pass through/to ferry,1
1407,旗,banner/flag,1
1408,甘,(surname)/sweet,1
1409,耐,to be unbearable/unable to endure,1
1410,凭,lean against/proof/to rely on/to depend on/to be based on,1
1411,扎,"to tie/to bind, tie with string or ribbon/bind with rope or cord/to stop, to prick/to run or stick (a needle, etc.) into, penetrating (as of cold)/struggle",1
1412,抢,"against wind, fight over/to rush/to scramble/to grab/to rob/to snatch",1
1413,绪,beginnings/clues/mental state/thread,1
1414,粗,coarse/rough/thick/unfinished/vulgar/rude/crude,1
1415,肩,shoulder,1
1416,梁,"(surname)/beam of roof/bridge, beam of roof",1
1417,幻,fantasy,1
1418,菲,rich/luxurious/phenanthrene (chemical)/Philippines,1
1419,皆,all/each and every/in all cases,1
1420,碎,to break down/to break into pieces/fragmentary,1
1421,宙,universe,1
1422,叔,uncle in direct address,1
1423,岩,"cliff/rock, cliff",1
1424,荡,a pond/pool/wash/squander/sweep away/move/shake/dissolute,1
1425,综,to sum up,1
1426,爬,crawl/climb,1
1427,荷,"lotus, peppermint/to carry burden",1
1428,悉,in all cases/know,1
1429,蒂,stem (of fruit),1
1430,返,to return (to),1
1431,井,warn/well,1
1432,壮,to strengthen/strong/robust,1
1433,薄,"mean/slight/thin, thin/slight/meagre/small/ungenerous/unkind/mean/frivolous/despise/belittle/to approach/to go near/peppermint",1
1434,悄,quiet/sad,1
1435,扫,"to sweep, broom",1
1436,敏,keen,1
1437,碍,to hinder/to obstruct/to block,1
1438,殖,grow/reproduce,1
1439,详,detailed/comprehensive,1
1440,迪,direct/follow,1
1441,矛,spear/lance/pike,1
1442,霍,(surname)/cholera,1
1443,允,just/fair/to permit/to allow,1
1444,幅,(measure word for textile or picture)/width/roll,1
1445,撒,"let go, to scatter",1
1446,剩,have as remainder,1
1447,凯,triumphant/victorious,1
1448,颗,(measure word for small spheres),1
1449,骂,scold/abuse,1
1450,赏,enjoy the beauty of/give,1
1451,液,liquid/fluid,1
1452,番,"(measure word for acts)/deeds/foreign, (surname)/place name",1
1453,箱,box/trunk/chest,1
1454,贴,to stick/to paste/to keep close to/to fit snugly/subsidize/allowance,1
1455,漫,free/unrestrained/inundate,1
1456,酸,sour/sore/ache/acid,1
1457,郎,(surname)/a youth,1
1458,腰,waist,1
1459,舒,(surname)/relax,1
1460,眉,eyebrow/upper margin,1
1461,忧,worried,1
1462,浮,to float,1
1463,辛,8th heavenly stem/tired,1
1464,恋,feel attached to/long for/love,1
1465,餐,eat/meal,1
1466,吓,to frighten/to scare/to intimidate/to threaten,1
1467,挺,be straight and stiff/rather (good),1
1468,励,exhort,1
1469,辞,bid farewell/diction/resign/say goodbye/take leave/decline,1
1470,艘,"measure word for warships (Taiwan pronunciation), measure word for boats and ships (mainland pronunciation)",1
1471,键,(door lock) key,1
1472,伍,associate with/five/company,1
1473,峰,peak/summit,1
1474,尺,a Chinese foot (M)/one-third of a meter/a ruler/a note musical note on traditional Chinese scale,1
1475,昨,yesterday,1
1476,黎,(surname)/black/abbreviation for Lebanon,1
1477,辈,contemporaries/generation/lifetime,1
1478,贯,pierce/to string,1
1479,侦,to scout/to spy,1
1480,滑,"comical, comical/cunning/slippery/smooth",1
1481,券,deed/bond/contract/ticket,1
1482,崇,high/dignified/lofty/to honor,1
1483,扰,disturb,1
1484,宪,statute/constitution,1
1485,绕,go around/to wind (around),1
1486,趋,to hasten/to hurry/walk fast,1
1487,慈,compassionate/gentle/merciful/kind/humane,1
1488,乔,tall,1
1489,阅,peruse/review/to read,1
1490,汗,perspiration/sweat,1
1491,枝,branch/(a measure word),1
1492,拖,dragging (brush stroke in painting)/to drag along,1
1493,墨,China ink/ink stick,1
1494,胁,side of body/threaten,1
1495,插,insert/stick in/pierce/to take part in/to interfere/to interpose,1
1496,箭,arrow,1
1497,腊,"preserved (meat), December/preserved (meat)",1
1498,粉,dust/powder,1
1499,泥,"mud/paste/pulp, restrained",1
1500,氏,clan name/maiden name,1
1501,彭,(surname),1
1502,拔,pull up/pull out/select/promote,1
1503,骗,to cheat/to swindle/to deceive/to fool,1
1504,凤,phoenix,1
1505,慧,intelligent,1
1506,媒,medium/intermediary/matchmaker/go-between,1
1507,佩,"to respect/wear (belt, etc.), girdle ornaments",1
1508,愤,indignant/anger/resentment,1
1509,扑,"to rush at/to throw oneself on, rush on",1
1510,龄,age,1
1511,驱,to expel/to urge on/to drive/to run quickly,1
1512,惜,"pity, regret, rue, begrudge",1
1513,豪,grand/heroic,1
1514,掩,cover up/to surprise,1
1515,兼,double/twice/simultaneous/holding two or more (official) posts at the same time,1
1516,跃,to jump/to leap,1
1517,尸,corpse,1
1518,肃,Gansu/respectful,1
1519,帕,handkerchief,1
1520,驶,hasten/proceed to/sail a vessel,1
1521,堡,"an earthwork/castle/position of defense/stronghold, character used in place names",1
1522,届,"arrive at (place or time)/period/to become due/measure words for events (e.g., meetings, elections)",1
1523,欣,happy,1
1524,惠,favor/kind act (from above),1
1525,册,book/a measure word for books/booklet,1
1526,储,savings/to save/to deposit/to store/(a surname),1
1527,飘,to float,1
1528,桑,mulberry tree,1
1529,闲,to stay idle/to be unoccupied/not busy/leisure/enclosure,1
1530,惨,miserable/wretched/cruel/inhuman/seriously/badly/tragic,1
1531,洁,clean,1
1532,踪,footprint/trace/tracks,1
1533,勃,flourishing/prosperous/suddenly/abruptly,1
1534,宾,visitor/guest,1
1535,频,frequency/frequently/repetitious,1
1536,仇,"hatred/animosity/enmity/a rival/an enemy/feud, (surname)/match/mate",1
1537,磨,"to sharpen/to delay/hardship/to grind/to rub, grindstone",1
1538,递,to hand over/to pass/to give,1
1539,邪,demonical/iniquitous/nefarious,1
1540,撞,to hit/to strike/to meet by accident/to run into/to bump against/to bump into,1
1541,拟,plan to,1
1542,滚,to boil/to roll,1
1543,奏,present a memorial,1
1544,巡,to patrol/to make one's rounds,1
1545,颜,(surname)/color/countenance,1
1546,剂,dose,1
1547,绩,merit/accomplishment,1
1548,贡,tribute/gifts,1
1549,疯,insane/mad/wild,1
1550,坡,slope,1
1551,瞧,look at,1
1552,截,a section/cut off (a length),1
1553,燃,burn/combustion,1
1554,焦,burnt/scorched/worried/anxious,1
1555,殿,palace hall,1
1556,伪,false/fake/forged/bogus,1
1557,柳,willow/Liu (a surname),1
1558,锁,to lock up/to lock,1
1559,逼,"close to/compel, force/compel/drive/press for/extort/press on towards/press up to/close in on/close",1
1560,颇,quite/rather/uneven/sloping,1
1561,昏,muddle-headed/twilight/to faint/to lose consciousness,1
1562,劝,to advise/to urge/to try to persuade/exhort,1
1563,呈,to assume (a form)/to submit/to petition/to show/to present/to offer,1
1564,搜,to search,1
1565,勤,diligent/frequent,1
1566,戒,swear off/warn against,1
1567,驾,to drive/to draw/to harness/to mount,1
1568,漂,"to float/to drift, to bleach, elegant/polished",1
1569,饮,drink,1
1570,曹,a company/a class/a generation/(a surname),1
1571,朵,M for flowers,1
1572,仔,"duty/responsibility, minutely/young",1
1573,柔,soft,1
1574,俩,"(a numeral-measure word) two/both, craft/cunning",1
1575,孟,first month/eldest brother/(surname),1
1576,腐,decay/rotten,1
1577,幼,young,1
1578,践,fulfill (a promise)/tread/walk,1
1579,籍,(surname)/record/register/native place,1
1580,牧,shepherd,1
1581,凉,cool/cold,1
1582,牲,domestic animal,1
1583,佳,excellent,1
1584,娜,elegant/graceful,1
1585,浓,concentrated/dense,1
1586,芳,fragrant,1
1587,稿,manuscript/draft/stalk of grain,1
1588,竹,bamboo,1
1589,腹,abdomen/stomach/belly,1
1590,跌,to drop/to fall/to tumble,1
1591,逻,logic/patrol,1
1592,垂,to hang (down)/droop/dangle/bend down/hand down/bequeath/nearly/almost/to approach,1
1593,遵,to observe/to obey/to follow,1
1594,脉,mountain range/pulse,1
1595,貌,appearance,1
1596,柏,"(surname)/cedar/cypress, cypress/cedar",1
1597,狱,prison,1
1598,猜,to guess,1
1599,怜,to pity,1
1600,惑,confuse,1
1601,陶,"pottery, (surname)/pleased/pottery",1
1602,兽,beast/quadruped,1
1603,帐,account/mosquito net/tent/curtain/debt/credit,1
1604,饰,adorn/ornaments,1
1605,贷,lend on interest/borrow/loan/make excuses/pardon/forgive,1
1606,昌,prosperous/flourish,1
1607,叙,narrate/abbreviation for Syria,1
1608,躺,to recline/to lie down,1
1609,钢,steel,1
1610,沟,ditch/gutter,1
1611,寄,lodge at/to mail/to send/to entrust/to depend,1
1612,扶,to support with hand/to help sb. up/to help,1
1613,铺,"to spread, a store, a bed/a store",1
1614,邓,Deng (Xiaoping),1
1615,寿,(long) life,1
1616,惧,to fear,1
1617,询,inquire,1
1618,汤,(surname)/soup,1
1619,盗,steal/rob/plunder/a thief/bandit/robber,1
1620,肥,loose-fitting/fat/fertile,1
1621,尝,"indicator of past tense/to taste/flavor/already/ever/once/test/already/formerly, to taste",1
1622,匆,hurried/hasty,1
1623,辉,bright/glorious,1
1624,奈,how can one help,1
1625,扣,"10 percent/button/detain, button",1
1626,廷,palace courtyard,1
1627,澳,Australia/deep bay/cove/bay/harbor/(abbrev) Macao,1
1628,嘛,(a modal particle),1
1629,董,(surname)/supervise/to direct/director,1
1630,迁,to move/to shift,1
1631,凝,congeal/concentrate attention,1
1632,慰,reassure,1
1633,厌,loathe,1
1634,脏,"dirty/filthy, viscera",1
1635,腾,to soar/to gallop/to rise/to prance/to hover/to move out,1
1636,幽,quiet/secluded,1
1637,怨,blame/complain,1
1638,鞋,shoe,1
1639,丢,to lose/to put aside/to throw,1
1640,埋,"bury, to blame",1
1641,泉,fountain/spring,1
1642,涌,bubble up/rush forth,1
1643,辖,have jurisdiction over,1
1644,躲,avoid/get out of way/to hide/to go into hiding,1
1645,晋,name of a dynasty,1
1646,紫,purple,1
1647,艰,difficult/hard/hardship,1
1648,魏,(surname)/name of a dynasty,1
1649,吾,I/my,1
1650,慌,nervous,1
1651,祝,invoke/pray to/wish/to express good wishes,1
1652,邮,post (office)/mail,1
1653,吐,"to spit, vomit",1
1654,狠,fierce/very,1
1655,鉴,example/mirror/to view/reflection/to reflect/to inspect/to warn/(ancient bronze mirror),1
1656,曰,to speak/to say,1
1657,械,tools,1
1658,咬,bite/nip,1
1659,邻,neighbor/adjacent/close to,1
1660,赤,red/scarlet/bare/naked,1
1661,挤,crowded/to squeeze,1
1662,弯,bend/bent,1
1663,椅,chair,1
1664,陪,to accompany/to keep sb. company,1
1665,割,cut off,1
1666,揭,lift off (a cover)/divulge,1
1667,韦,(surname)/soft leather,1
1668,悟,comprehend,1
1669,聪,quick at hearing/wise/clever/sharp-witted/intelligent/acute,1
1670,雾,fog/mist,1
1671,锋,point or edge of a tool,1
1672,梯,ladder,1
1673,猫,cat/pussy,1
1674,祥,auspicious/propitious,1
1675,阔,rich/wide/broad,1
1676,誉,reputation,1
1677,筹,a tally/counter/ticket/plan/devise/manage,1
1678,丛,cluster/collection/collection of books/thicket,1
1679,牵,lead along,1
1680,鸣,to cry (of birds),1
1681,沈,"sink, (surname)/place name",1
1682,阁,council-chamber/shelf,1
1683,穆,(surname)/solemn,1
1684,屈,bent/feel wronged,1
1685,旨,imperial decree/purport/aim/purpose,1
1686,袖,sleeve,1
1687,猎,hunting,1
1688,臂,arm,1
1689,蛇,snake/serpent,1
1690,贺,congratulate,1
1691,柱,pillar,1
1692,抛,to throw/to toss/to fling/to cast/to abandon,1
1693,鼠,rat/mouse,1
1694,瑟,(mus. instr.),1
1695,戈,(surname)/spear,1
1696,牢,firm/fast,1
1697,逊,to yield,1
1698,迈,take a step,1
1699,欺,take unfair advantage of/to deceive/to cheat,1
1700,吨,"ton, ton",1
1701,琴,(mus. instr.),1
1702,衰,"mourning garments, weak/feeble/decline/wane",1
1703,瓶,bottle/(a measure word)/vase/pitcher,1
1704,恼,get mad,1
1705,燕,"(surname)/place name, swallow (a type of bird)",1
1706,仲,2nd in seniority,1
1707,诱,entice/tempt,1
1708,狼,wolf,1
1709,池,pond/reservoir,1
1710,疼,(it) hurts/love fondly/ache/pain/sore,1
1711,卢,(surname),1
1712,仗,battle,1
1713,冠,"hat/crown/crest/cap, to head",1
1714,粒,a grain/a granule,1
1715,遥,distant/remote/far/far away,1
1716,吕,(surname),1
1717,玄,black/mysterious,1
1718,尘,dust/dirt/earth,1
1719,冯,,1
1720,抚,to comfort/touch gently with hand,1
1721,浅,"sound of moving water, shallow",1
1722,敦,"kind-hearted, kind-hearted/place name",1
1723,纠,gather together/to investigate/to entangle/correct,1
1724,钻,"enter (a hole)/probe, an auger/diamond",1
1725,晶,crystal,1
1726,岂,how can it be that,1
1727,峡,gorge,1
1728,苍,dark blue/fly/musca/deep green,1
1729,喷,"to puff/to spout/to spray/to spurt, fragrant/sneeze",1
1730,耗,mouse/new/to waste/to spend/to consume/to squander,1
1731,凌,encroach/soar/thick ice,1
1732,敲,extort/knock/to strike/to knock (at a door)/to hit,1
1733,菌,"germ/bacteria, bacteria/mold/mushroom",1
1734,赔,lose in trade/pay damage,1
1735,涂,"to smear/daub, (surname)/to smear/daub/to apply (paint)/to spread",1
1736,粹,pure/unmixed/essence,1
1737,扁,"flat/tablet/inscription, (surname)/small boat, Polygonum aviculare",1
1738,亏,deficiency/deficit,1
1739,寂,lonesome,1
1740,煤,coal,1
1741,熊,bear/to scold/to rebuke,1
1742,恭,respectful,1
1743,湿,moist/wet,1
1744,循,to follow/to adhere to/to abide by,1
1745,暖,warm,1
1746,糖,sugar/sweets/candy,1
1747,赋,poetic essay/taxation/bestow on/endow with,1
1748,抑,to restrain/to restrict/to keep down/or,1
1749,秩,order/orderliness,1
1750,帽,hat/cap,1
1751,哀,sorrow/grief/pity/to grieve for/to pity/to lament,1
1752,宿,"lodge for the night/old/former, (a) night, constellation",1
1753,踏,step on,1
1754,烂,overcooked/rotten/soft,1
1755,袁,(surname),1
1756,侯,marquis,1
1757,抖,shake out/tremble,1
1758,夹,"clip/folder/hold between/to press from both sides/to place in between, hold between/lined/narrow lane",1
1759,昆,"Kunlun mountains, descendant/elder brother",1
1760,肝,liver,1
1761,擦,to wipe/to erase/rubbing (brush stroke in painting)/to clean/to polish,1
1762,猪,hog/pig/swine,1
1763,炼,"refine/smelt, refine",1
1764,恒,permanent,1
1765,慎,cautious,1
1766,搬,remove/transport/move/shift,1
1767,纽,to turn/to wrench/button,1
1768,纹,line/trace/mark,1
1769,玻,glass,1
1770,渔,fisherman/to fish,1
1771,磁,magnetic/magnetism/porcelain,1
1772,铜,copper,1
1773,齿,tooth,1
1774,跨,step across/step astride,1
1775,押,detain in custody,1
1776,怖,terror/terrified/afraid/frightened,1
1777,漠,desert/unconcerned,1
1778,疲,weary,1
1779,叛,to betray/to rebel/to revolt,1
1780,遣,dispatch,1
1781,兹,herewith,1
1782,祭,"offer sacrifice, (surname)",1
1783,醉,intoxicated,1
1784,拳,fist,1
1785,弥,"full/to fill, overflowing",1
1786,斜,slanting,1
1787,档,cross-piece/official records/grade (of goods)/file/records/shelves,1
1788,稀,diluted/sparse,1
1789,捷,victory/triumph/quick/prompt/rapid,1
1790,肤,skin,1
1791,疫,epidemic/plague,1
1792,肿,swollen,1
1793,豆,"bean/peas, bean/sacrificial vessel",1
1794,削,"to scrape, to reduce/to pare (away)/to cut (down)",1
1795,岗,mound/policeman's beat,1
1796,晃,"dazzle, sway/to shade",1
1797,吞,to swallow/to take,1
1798,宏,spacious,1
1799,癌,"cancer, cancer (old pronuniation)/carcinoma",1
1800,肚,"tripe, belly",1
1801,隶,attached to/scribe,1
1802,履,shoe/to tread on,1
1803,涨,"to rise (of prices, rivers), to swell/distend",1
1804,耀,brilliant/glorious,1
1805,扭,to turn/to twist/to grab/to wring,1
1806,坛,altar,1
1807,拨,to push aside/to appropriate (money)/to move/to set aside/group/batch/to poke/to stir,1
1808,沃,fertile/rich,1
1809,绘,to draw/to paint,1
1810,伐,(v) cut down; fell/(v) dispatch an expedition against; descend upon,1
1811,堪,endure,1
1812,仆,"fall prostrate, servant",1
1813,郭,(surname)/outer city wall,1
1814,牺,sacrifice,1
1815,歼,annihilate,1
1816,墓,tomb,1
1817,雇,hire,1
1818,廉,incorrupt/inexpensive,1
1819,契,contract,1
1820,拼,piece together/stake (all)/spell/join together,1
1821,惩,punish/discipline,1
1822,捉,to clutch/to grab/to capture,1
1823,覆,to cover/to overflow/to reply to a letter/to overturn/to capsize,1
1824,刷,"brush, to select",1
1825,劫,plunder,1
1826,嫌,to dislike/to suspect,1
1827,瓜,melon/claw/gourd/squash,1
1828,歇,to rest,1
1829,雕,"engrave, engrave/shrewd, golden eagle",1
1830,闷,"smother/stuffy, melancholy",1
1831,乳,breast/milk,1
1832,串,to string together/to mix up/to conspire/to connect/(a measure word)/string,1
1833,娃,baby/doll,1
1834,缴,hand in/hand over,1
1835,唤,to call,1
1836,赢,to beat/to win/to profit,1
1837,莲,lotus,1
1838,霸,feudal chief/rule by force/tyrant/lord/master/hegemon/usurp,1
1839,桃,peach,1
1840,妥,secure/sound,1
1841,瘦,tight/thin/lean,1
1842,搭,"build (scaffolding)/take (boat, train)/hang/join/match/take passage",1
1843,赴,"go towards/go to/attend (a banquet, etc.)/to go",1
1844,岳,"(surname)/mountain/wife's father, mountain",1
1845,嘉,excellent,1
1846,舱,cabin/the hold of a ship or airplane,1
1847,俊,smart/eminent/handsome/talented,1
1848,址,location/site,1
1849,庞,(surname)/huge/enormous/tremendous,1
1850,耕,to plow/to till,1
1851,锐,acute,1
1852,缝,"to sew/to stitch, crack/seam",1
1853,悔,regret,1
1854,邀,invite to come,1
1855,玲,(used in compounds)/tinkling of gem-pendants,1
1856,惟,,1
1857,斥,blame/reprove/reprimand,1
1858,宅,residence,1
1859,添,to add/to increase/to replenish,1
1860,挖,to dig/to excavate/to scoop out,1
1861,呵,"(phonetic particle), expel breath/my goodness",1
1862,讼,litigation,1
1863,氧,oxygen,1
1864,浩,grand/vast (water),1
1865,羽,feather,1
1866,斤,catty/weight equal to 0.5 kg,1
1867,酷,"ruthless/strong (as of wine)/(slang loan from English) cool, great",1
1868,掠,plunder,1
1869,妖,goblin/witch/devil/bewitching/enchanting/monster/phantom,1
1870,祸,disaster,1
